% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-33.8,2097
2,200,-2.0,2298
2,300,-2.3,2518
2,400,-2.6,2752
2,500,-2.1,2955
2,600,-2.0,3158
2,700,-2.1,3361
2,800,-2.0,3564
2,900,-2.0,3766
2,1000,-3.0,4017
2,1100,-2.0,4220
2,1200,-2.1,4425
2,1300,-2.1,4628
2,1400,-2.1,4835
2,1500,-2.1,5038
2,1600,-2.1,5246
2,1700,-2.1,5450
2,1800,-2.0,5653
2,1900,-2.0,5854
2,2000,-2.2,6066
2,2100,-2.1,6272
2,2200,-2.2,6484
2,2300,-2.0,6687
2,2400,-2.1,6894
2,2500,-2.1,7099
2,2600,-2.5,7327
2,2700,-2.1,7531
2,2800,-3.8,7824
2,2900,-1.3,7948
2,3000,-1.0,8048
2,3100,-1.0,8149
2,3200,-2.5,8327
2,3300,-1.1,8432
2,3400,-1.0,8532
2,3500,-1.0,8634
2,3600,-1.0,8734
2,3700,-1.0,8835
2,3800,-1.0,8937
2,3900,-1.0,9039
2,4000,-1.0,9142
2,4100,-1.0,9245
2,4200,-1.1,9350
2,4300,-1.0,9454
2,4400,-1.1,9562
2,4500,-1.0,9665
2,4600,-1.1,9772
2,4700,-1.1,9875
2,4800,-1.0,9976
